artist,title,year,note
Animal Collective,Strawberry Jam,2007,"The maximalist one. 'Fireworks' and 'Peacebone' make the case for AnCo as pop band, however briefly."
Panda Bear,Person Pitch,2007,Noah Lennox stacking Beach Boys harmonies over loops until they become weather. 'Bros' is twelve minutes that feel like five.
Arcade Fire,Neon Bible,2007,"Big-room Arcade Fire — pipe organs, Springsteen via Montreal. The dark middle child between Funeral and The Suburbs."
Spoon,Ga Ga Ga Ga Ga,2007,Britt Daniel at peak economy. Nothing on the record that doesn't need to be there. 'The Underdog' is a gift.
TV on the Radio,Dear Science,2008,"Same band, sharper edges, and 'DLZ' for the days that need it."
Fleet Foxes,Fleet Foxes,2008,Harmonies stacked like cordwood. Robin Pecknold's voice sounded already old when he was 22.
Portishead,Third,2008,Eleven-year silence broken by the most paranoid record they ever made. Krautrock pulse under Beth Gibbons's ghost.
Yeah Yeah Yeahs,It's Blitz!,2009,The synth pivot worked. 'Zero' is a song that won the back half of the 2000s.
Animal Collective,Merriweather Post Pavilion,2009,"Glitchy, sample-heavy, and somehow the most accessible AnCo record. 'My Girls' justified a decade of devotion."
LCD Soundsystem,This Is Happening,2010,Murphy at his most quotable. 'All I Want' is the prettiest song he'll ever write and he knows it.
Arcade Fire,The Suburbs,2010,"Funeral's grown-up cousin. Cul-de-sacs, bored kids, and the most fully-realized record they'll ever make."
Bon Iver,Bon Iver,2011,Where the cabin-record one-trick guy proved he was a composer. Saxophone solos and town names.
Father John Misty,Fear Fun,2012,"Josh Tillman re-introducing himself as a character. Funny, slightly drunk, smarter than it lets on."
Run the Jewels,Run the Jewels 2,2014,Killer Mike and El-P at their angriest and best. Hip-hop that earned the late-career renaissance both deserved.
Father John Misty,"I Love You, Honeybear",2015,"The marriage album. Lush, sarcastic, sincere — sometimes in the same line."
Kendrick Lamar,DAMN.,2017,"The Pulitzer record. Front-to-back, back-to-front. The rare album that rewards both modes of listening."
"Tyler, the Creator",IGOR,2019,Tyler producing for himself like a different artist. A breakup record disguised as a costume change.
Black Sabbath,Vol. 4,1972,The drugs-and-strings record. 'Changes' from the band that invented metal — and the riff factory of 'Snowblind' on the same album.
Beastie Boys,Paul's Boutique,1989,"The sample-collage masterpiece. Killed commercially on release, vindicated forever after. The Dust Brothers' finest hour."
Blind Melon,Blind Melon,1992,The 'No Rain' record people remember — and the album-deep stuff they forget. 'Change' is the closer that deserved more.
Blind Melon,Nico,1996,The posthumous one. Named for Shannon Hoon's daughter. The version of 'Letters from a Porcupine' is impossible to hear straight.
Fugees,The Score,1996,"Lauryn, Wyclef, and Pras at the exact moment everything aligned. 'Killing Me Softly' is the floor — the whole record is the ceiling."
Blur,13,1999,Britpop dissolved into William Orbit textures and Damon's heartbreak. 'Tender' is a hymn; 'No Distance Left to Run' is its rebuttal.
Modest Mouse,Good News for People Who Love Bad News,2004,The crossover record. 'Float On' was the gateway; the rest of the album is the reason the gateway opened.
Modest Mouse,We Were Dead Before the Ship Even Sank,2007,"Johnny Marr joined the band, and the songs got bigger. Sea-shanty rhythms behind Isaac Brock's best dread."
Handsome Furs,Face Control,2009,Dan Boeckner and Alexei Perry making airport-bar synth-punk. The political record dressed up as a dance record.
Handsome Furs,Sound Kapital,2011,"Their farewell, recorded around tours of Beijing and Myanmar. Synths and shouting — what would have been their best record had they kept going."
Beastie Boys,Check Your Head,1992,"The instruments-back-in-our-hands record. Punk-rap-funk-hardcore in one stew, and the band most able to pull it off."
J. Cole,2014 Forest Hills Drive,2014,No features. Self-produced. The grown-up record made by an artist who knew exactly what he wanted to say.
Alice in Chains,Jar of Flies,1994,"The first EP to debut at #1. Acoustic, melancholy, and the most emotionally direct thing the band ever recorded."
Beastie Boys,Ill Communication,1994,"Funk, hardcore, rap, and 'Sabotage' as the moment a music video changed the band's career arc."
Method Man,Tical,1994,"First Wu solo. RZA's grimiest beats, Meth's voice already iconic. The album that proved the Wu strategy worked."
Nirvana,MTV Unplugged in New York,1994,Released after Cobain died. The cover of 'Where Did You Sleep Last Night' is the band's last word.
Alice in Chains,MTV Unplugged,1996,"Their last full show with Layne. The performance is fragile, beautiful, and impossible to hear without weight."
Blackalicious,Blazing Arrow,2002,Gift of Gab's tongue-twisting verses over Chief Xcel's warm soul samples. The most listenable backpack rap record of its era.
Ghostface Killah,Supreme Clientele,2000,Wu's most quotable solo record. Bars that don't always make sense and yet always make sense. RZA back on form.
Talking Heads,Remain in Light,1980,"Byrne, Eno, and a rhythm section possessed by Fela. The album that proved a new-wave band could become a polyrhythmic religion."
Dio,Holy Diver,1983,"Ronnie James Dio's solo debut. The cover, the title track, and 'Rainbow in the Dark' as a one-two-three for the heavy-metal high school years."
Dio,Sacred Heart,1985,"More fantasy, more bombast. 'Rock 'n' Roll Children' is the song you remember; the rest of the record rewards you for staying."
Pantera,Vulgar Display of Power,1992,Where groove metal finally won. Dimebag's riffs are still the textbook. Phil Anselmo's bark made everyone else sound polite.
Pantera,Far Beyond Driven,1994,"Debuted at #1 with no radio play. The angriest, most punishing record on the major-label charts that year, by a wide margin."
Talking Heads,Speaking in Tongues,1983,"Post-Eno, leaner, and the pop record nobody saw coming. 'Burning Down the House' is the floor."
Paul Simon,Graceland,1986,"Ladysmith Black Mambazo, mbaqanga rhythms, and a songwriter at the height of his curiosity. The cultural-exchange record that earned every defender."
Rage Against the Machine,Rage Against the Machine,1992,"Politics and riffs, with nothing between them. Morello's tone alone made guitar an argument again."
Nine Inch Nails,Pretty Hate Machine,1989,Reznor alone in a Cleveland studio inventing industrial pop. 'Head Like a Hole' was the warning shot.
Nine Inch Nails,Broken,1992,"The angriest record Reznor ever made, recorded while trapped in a label contract. Six tracks of pure exit-wound rage."
Tool,Opiate,1992,"The first EP. Six tracks, no patience for polish. The most punk thing they ever released."
Tool,Undertow,1993,"Before they got prog. Heaviest, most direct Tool record. 'Sober' and 'Prison Sex' as a one-two argument."
Tool,Ænima,1996,"The pivot to prog. 'Stinkfist', 'Forty Six & 2', and 'Eulogy' as a thesis statement. The record that defined the rest of their career."
Violent Femmes,Add It Up (1981-1993),1993,"Not strictly an album — a compilation that functions as one. Gano's catalogue compressed into its sharpest, most playable form."
